id,title,description,image
23,Circinus,A celestial compass drawing perfect circles in space.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRRKt4evdPfM2YOVBSD99QcakfIxqryfHhhFw&s
24,Columba,A peaceful cosmic dove flying between galaxies.,https://lh3.googleusercontent.com/proxy/bxIdQLKfMcD1uctI98lSOHBGLi7C-ojKxmAm41J6ShsaQMeDYTrgQfevCiUOHET1k1pGYMJEh2SL7IzmPYIcFXTyBrzSQRBixz4MTZiK1sPf
25,Coma Berenices,The flowing hair of a queen turned into starlight.,https://lh6.googleusercontent.com/proxy/se-5_mawfqBMxquhFDLsGQVvhtAbhnEwWh7mM--Mhf-OqS1SdbuvYoY4UBZGY9xuBS01TJtnp_E6QxIi_Mg28oad59uusy_1CyoyN2F76IDEeQIjyOKB1w
26,Corona Australis,A glowing crown hidden deep in southern space., https://lh3.googleusercontent.com/proxy/swr1kWSN8TPp8TkHVAp2pLZRR_f_ZgSu-1igTtqLuox5UXfvXmasU2Nda3AD_0sYEvFbY6cUunXP46q2s93T8nfrfwdTmKgkqo7t9neJ1BO1lIviYbP-MkrV
27,Corona Borealis,The northern crown worn by celestial royalty.,https://lh4.googleusercontent.com/proxy/V9KD8DN_6Sr-vQ9qMWPIczhFPGTuytg4Jt8Dzv2SKvOa7SHd0Lpc3cNgzJ-2R5WBvynOaxRKF7H0UN-KjLp25p-Bcrqdrnur23sE1WDkOHNhKBUp4-pRtWs
28,Corvus,A clever cosmic raven watching silently.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRXti5Zyp4ueYVG5BA9CBefXRuAQMGNGDbvpA&s
29,Crater,A sacred cosmic cup filled with ancient starlight.,https://lh5.googleusercontent.com/proxy/I5qA6HkqVo06X7F8sDcRSmOTL8Ulqqf2HM2CAXvPnQlVlYaKLSAZyn3vcth8m8KQJSCzE53ffUJgunKomDgr2uAF0BBoUei1uuwfI4vs6e8
30,Crux,The legendary Southern Cross guiding lost explorers.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTciYcV6K0OeRdVdYUPOTZtoDULeDcTifU3Fg&s
31,Cygnus,The graceful swan gliding across the Milky Way.,https://star-name-registry.com/modules/starconstpg/views/img/new/cygnus-cons-m.jpg
32,Delphinus,A friendly cosmic dolphin leaping through stars.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSF9HWjxg97pxJOBxqHjpHMv4qdahG_--G-Qw&s
33,Dorado,A golden cosmic fish shimmering in deep space.,https://lh6.googleusercontent.com/proxy/0OEsLIG89J5gKfKdlLutDxyBtPplb4hLF564mfOMvJ7Ivi5T-y5mst97nHqL2KuDXJYHw-sHNL-NX8wt_2n4nc68gytGvnfix0rhiEulGHo
34,Draco,A massive dragon winding between constellations.,https://upload.wikimedia.org/wikipedia/commons/thumb/c/c3/DracoCC.jpg/428px-DracoCC.jpg
35,Equuleus,A small celestial horse racing across the sky.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTb_MCc4Fy2ilBoKcLQ9g7crzWGEo5z7s9ctA&s
36,Eridanus,A cosmic river flowing endlessly across the universe.,https://www.star-registration.com/cdn/shop/articles/15_Eridanus_f1ad64c9-73f5-4abd-a189-40940564008d_1200x1200.jpg?v=1748064033
37,Fornax,A furnace burning with ancient cosmic fire.,https://t4.ftcdn.net/jpg/00/59/88/01/360_F_59880143_A3LI2DZuNEXpcnsccbXXVpocCZZWfoag.jpg
38,Gemini,The immortal twins standing side by side forever.,https://media.istockphoto.com/id/823631494/photo/gemini-constellation-zodiac-sign-gemini-constellation-lines-galaxy-background.jpg?s=612x612&w=0&k=20&c=lta-wZHLrl6Utug6OZXxXoacy7mKE6cGOFt2ojYeIZc=
39,Grus,A cosmic crane soaring gracefully.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTLEJeAyCi2aHLhv_CjxqgJ9s62O0egMSyhXw&s
40,Hercules,The strongest hero ever written in the stars.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQrZIG9RYFln09nUz9Yw0R5_7epbtKsxG0xtQ&s
41,Horologium,A cosmic clock ticking since the birth of the universe.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSLcHuBBCqtytZcDWVCKlIX8TRo41BYHCklSQ&s
42,Hydra,The largest cosmic serpent stretching across the heavens.,https://upload.wikimedia.org/wikipedia/commons/thumb/1/18/HydraCC.jpg/428px-HydraCC.jpg
43,Hydrus,A smaller but swift cosmic water snake.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR4pra2cA7yYDD3dNRTl25MNre11F5Gnf4kXA&s
44,Indus,A mysterious cosmic traveler from ancient worlds.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSArkXv1gYEejKblXHVWAC-fRmTuwUXcsxrcg&s
45,Lacerta,A stealthy cosmic lizard hiding in plain sight.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSawe5mq--u4OtKkr9bYN2liy3ohxdKOtMQog&s
46,Leo,The fearless lion roaring across the galaxy.,https://media.istockphoto.com/id/2207758801/photo/leo-constellation-in-the-night-sky-stars-on-a-dark-background.jpg?s=612x612&w=0&k=20&c=-6rSR66j52eVylc-IN9_cvATdVbBOee59y3UmaXEdTk=
47,Leo Minor,A smaller lion cub following its celestial king.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQRgMvcQpzXxIQKUstWoXAYg2zrCl_lYvSH9g&s
48,Lepus,A cosmic hare racing beneath Orionâ€™s feet.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTe_wKi3sEVQHh_YTe6t_suhbiSh-8FdqENdw&s
49,Libra,The cosmic scales balancing light and darkness.,https://media.istockphoto.com/id/525423701/vector/libra-constellation.jpg?s=612x612&w=0&k=20&c=yJqEHTrZxLKzPAyhNcIeX8fqqrTR2gK2cm49TkjFpy8=
50,Lupus,A fierce wolf prowling silently through the night sky.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcR-1uaYkYqi32UNBolpkmC_-SkYS4-iSKoN4g&s
51,Lynx,A faint cosmic hunter only visible to sharp eyes.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRb1Qume9EO4rlzHz63NyodLSX5lAirUZzp1w&s
52,Lyra,A celestial harp playing music across the stars.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSmDqHBJFyhii_N-d7zoyvpSNN0Uvz2IGpV5A&s
53,Mensa,A cosmic table beneath the southern skies.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRaO_TrsELlpTxgFCdtOkyNjE0hS-EMGLzYcw&s
54,Microscopium,A cosmic microscope revealing hidden star secrets.,https://lh4.googleusercontent.com/proxy/szUbr6abeRJM4DNX1oPvtoyfqfD9kV4Etjqy_cYHX0qqo-BvbLOouX-dTYMWk4MY2Zj4sY8wRWGsYhdO1goPUFYZB7xHHDtW0KlnjM46RtbZLum-c7g
55,Monoceros,A magical unicorn wandering through the Milky Way.,https://lh6.googleusercontent.com/proxy/DOC0zoRLM8wXdT-gcegkBfmeiKZkw3o6AJ1rHy3ObfhcxDp6HGajXOGrRXKsSmaUV4A1jv93MHzTi-BNHK66jvwTRU0EScg163cAvoenNyuMSy4
56,Musca,A tiny cosmic fly buzzing through space.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRN5dL3xuQuZonMany12_jRRXc5xTJ6H-no9w&s
57,Norma,A precise cosmic tool measuring the universe.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ6lZTMdFnq-w5CYpbX8ezA8SXXSs9NVoQBNg&s
58,Octans,Home of the southern pole star guiding explorers.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcT-oX7sZzBw9GoV_Clv9yandhqwf3sKQY5PkQ&s
59,Ophiuchus,The legendary serpent bearer mastering cosmic forces.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSXAryfHi6IUPwh7CsoDGUeETyEZGwi0hp4qA&s
60,Orion,The greatest hunter standing fearless among stars.,https://astrobackyard.com/wp-content/uploads/2024/01/orion-constellation.jpg
61,Pavo,A majestic cosmic peacock displaying its feathers.,https://www.star-registration.com/cdn/shop/articles/56_Pfau_1756c0d9-a071-45dc-bac6-c129a1026f01_1200x1200.jpg?v=1748064466
62,Pegasus,The legendary winged horse soaring endlessly.,https://media.istockphoto.com/id/1284299609/vector/pegasus-constellation-on-transparent-background.jpg?s=612x612&w=0&k=20&c=zfJNfze79kCx1lAEPNuP6kNJTxJDy0ncHgnbNdGBs0I=
63,Perseus,The brave hero frozen forever in victory.,https://lh5.googleusercontent.com/proxy/jjthE7xdY7zXCKpPSdu3XadCy_hdIMzxLEVEYNrujdDCmypch34vlwV4RBx_gPzSOl342M_6k4Urf4Q1GiK-zlsagVVrrZvXG1ayWq5L45JR
64,Phoenix,A cosmic firebird reborn from starlight.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQ_HYDW-yM6SsSuun-3HwaWU-8J3ZdpmoWrOg&s
65,Pictor,A cosmic painter creating galaxies.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSmxe3csweNHs3V-CCqdS5GyLvfe32gRI0SFQ&s
66,Pisces,Two cosmic fish swimming through infinity.,https://upload.wikimedia.org/wikipedia/commons/0/03/PiscesCC.jpg
67,Piscis Austrinus,A southern cosmic fish glowing brightly.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTNx8sK-VWfpo2hly6MCfqA7CBdcsM_3KoThg&s
68,Puppis,A cosmic ship sailing star oceans.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcS2At9sOV3FDWDxQDOgdRkbdOybDwqh9X-v6A&s
69,Pyxis,A cosmic compass guiding lost explorers.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRYFB_FZFCaBaPh6Qjg3hDUa7dplbwNGYQRlg&s
70,Reticulum,A cosmic net capturing starlight.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTcQYIO9l6eCBJMTcAOw9_EnhbDu1VR45c8Qw&s
71,Sagitta,A cosmic arrow flying forever.,https://www.shutterstock.com/image-vector/sagitta-constellation-night-sky-260nw-2541728547.jpg
72,Sagittarius,The legendary archer aiming at the galaxy center.,https://media.istockphoto.com/id/525430193/vector/sagittarius-constellation.jpg?s=612x612&w=0&k=20&c=xiPp51Hka5Vhzyt0yftgstOy1fu_b6ZWNC8MKRvoo_c=
73,Scorpius,A deadly cosmic scorpion guarding ancient secrets.,https://www.shutterstock.com/image-photo/scorpius-constellation-stars-milky-way-600nw-2599514775.jpg
74,Sculptor,A cosmic artist shaping the universe.,https://media.istockphoto.com/id/2240567091/photo/sculptor-constellation-in-the-night-sky-isolated.jpg?s=612x612&w=0&k=20&c=5xxWc8mmZ2kzggZ86bAQ2dwNTr2xU0Pt7tKG7yDlNxs=
75,Scutum,A cosmic shield protecting the heavens.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSvGri7aRRi7_EeXJkqDDz8NjaMQJVlVYclnQ&s
76,Serpens,A cosmic serpent split between two worlds.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcTYkMICEZRR4FflngXkGr0v9RaG9zvS_b8c1w&s
77,Sextans,A cosmic measuring tool for star distances.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQb9RPU_Yix6yCgpMHPskAFXJZq64a-JK9h-Q&s
78,Taurus,A powerful bull charging through space.,https://thumbs.dreamstime.com/b/taurus-constellation-vector-illustration-sign-60621456.jpg
79,Telescopium,A cosmic telescope watching distant galaxies.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSoNeglEPT50RPTe4DDDXElTh6qctBwAKArCw&s
80,Triangulum,A glowing cosmic triangle hiding galaxies.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRmtXA2cjIyaf-DEAfdjJndC9BmEua4OXzLGg&s
81,Triangulum Australe,A southern triangle shining brightly.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQnKJljRGgMupLnDSZbF6R3MYq6zQnIuFbxug&s
82,Tucana,A tropical cosmic bird flying far south.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcRFoM_CCxAyW-GmyEQjTsJlTO_9HWRbtwVblw&s
83,Ursa Major,The legendary Great Bear guiding explorers.,https://star-name-registry.com/modules/starconstpg/views/img/new/ursamajor-cons-m.jpg
84,Ursa Minor,"Home of Polaris, the North Star.",https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcSqW3JqsIh566SvsC-m9sQEW3HYc_SYRoSIdA&s
85,Vela,The cosmic ship sails across endless space.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQmljtvw-iThGHLmb_V4I4kpjXx2z_y4GoB5Q&s
86,Virgo,The cosmic maiden guarding galaxy clusters.,https://www.star-registration.com/cdn/shop/articles/31_Jungfrau_58000cd9-338c-4315-9d4b-9b1355a4fb60_1200x1200.jpg?v=1748064975
87,Volans,A flying cosmic fish gliding through stars.,https://lh3.googleusercontent.com/proxy/iOA67lFDVlUGzeR00M8pzKb7Tb5iwdcy3TFNeG8iOa7Eitzn_IaVNwobZMx1jf9_KnvtcEGgU-7tF75ZOlye3EvZGR9wNPfS3hrMuWnuDXw
88,Vulpecula,A clever cosmic fox hiding in the Milky Way.,https://encrypted-tbn0.gstatic.com/images?q=tbn:ANd9GcQTa2_-vSJTyn30uwNZXFamzfoa-MRF9C81eQ&s
